TaxYear,Municipality,Fund,TIF_Loss,Abatement_Loss,Total_Loss
2014,Columbus,General,10723.488334907042,0,10723.488334907042
2014,Columbus,Fire,91362.57166509295,0,91362.57166509295
2014,Columbus,Road,0,0,0
2014,Gahanna,General,9778.175685313832,396.17772548717744,10174.35341080101
2014,Gahanna,Fire,60167.35431468616,2437.772274512822,62605.12658919898
2014,Gahanna,Road,0,0,0
2015,Columbus,General,10755.828649837407,0,10755.828649837407
2015,Columbus,Fire,84614.31135016259,0,84614.31135016259
2015,Columbus,Road,0,0,0
2015,Gahanna,General,11495.246454817196,390.8179592108236,11886.06441402802
2015,Gahanna,Fire,65311.41354518281,2220.4720407891764,67531.88558597199
2015,Gahanna,Road,0,0,0
2016,Columbus,General,10636.493125583487,0,10636.493125583487
2016,Columbus,Fire,83528.01687441651,0,83528.01687441651
2016,Columbus,Road,0,0,0
2016,Gahanna,General,13247.862568086328,392.6622298174403,13640.524797903769
2016,Gahanna,Fire,75136.39743191366,2227.0177701825596,77363.41520209622
2016,Gahanna,Road,0,0,0
2017,Columbus,General,12503.030342725928,0,12503.030342725928
2017,Columbus,Fire,87837.85965727408,0,87837.85965727408
2017,Columbus,Road,0,0,0
2017,Gahanna,General,14244.634417693102,418.1600712465742,14662.794488939675
2017,Gahanna,Fire,72275.08558230689,2121.679928753426,74396.76551106031
2017,Gahanna,Road,0,0,0
2017,Jefferson Unincorporated,General,0,1022.1207741978598,1022.1207741978598
2017,Jefferson Unincorporated,Fire,0,8401.45560134073,8401.45560134073
2017,Jefferson Unincorporated,Road,0,2812.3336244614115,2812.3336244614115
2018,Columbus,General,12436.739607720236,0,12436.739607720236
2018,Columbus,Fire,87415.44039227976,0,87415.44039227976
2018,Columbus,Road,0,0,0
2018,Gahanna,General,14384.329252484637,310.1001005312634,14694.4293530159
2018,Gahanna,Fire,73020.04074751538,1574.1798994687365,74594.22064698412
2018,Gahanna,Road,0,0,0
2018,Jefferson Unincorporated,General,4381.340030231375,975.0917346021448,5356.43176483352
2018,Jefferson Unincorporated,Fire,42137.30517939225,8018.865798214597,50156.170977606846
2018,Jefferson Unincorporated,Road,12219.36479037638,2685.722467183257,14905.087257559637
2019,Columbus,General,12443.699783661074,0,12443.699783661074
2019,Columbus,Fire,86224.31021633893,0,86224.31021633893
2019,Columbus,Road,0,0,0
2019,Gahanna,General,14393.53806012269,316.78827524310924,14710.326335365799
2019,Gahanna,Fire,72030.86193987732,1585.3317247568907,73616.19366463421
2019,Gahanna,Road,0,0,0
2019,Jefferson Unincorporated,General,14881.307626805965,995.6729141577988,15876.980540963763
2019,Jefferson Unincorporated,Fire,132544.6555676726,8072.029839097834,140616.68540677044
2019,Jefferson Unincorporated,Road,40947.176805521434,2705.0272467443674,43652.2040522658
2019,Reynoldsburg,General,0,0,0
2019,Reynoldsburg,Fire,0,0,0
2019,Reynoldsburg,Road,0,0,0
2020,Columbus,General,14877.202828163438,0,14877.202828163438
2020,Columbus,Fire,87711.81717183656,0,87711.81717183656
2020,Columbus,Road,0,0,0
2020,Gahanna,General,16764.465357563146,659.8738998580886,17424.339257421234
2020,Gahanna,Fire,71383.42464243686,2809.7561001419117,74193.18074257877
2020,Gahanna,Road,0,0,0
2020,Jefferson Unincorporated,General,22745.263190139176,1146.8670180597478,23892.130208198923
2020,Jefferson Unincorporated,Fire,168744.03371107986,7911.079515639996,176655.11322671984
2020,Jefferson Unincorporated,Road,54634.78309878094,2703.383466300257,57338.1665650812
2020,Reynoldsburg,General,0,0,0
2020,Reynoldsburg,Fire,0,0,0
2020,Reynoldsburg,Road,0,0,0
2021,Columbus,General,14670.910201415049,0,14670.910201415049
2021,Columbus,Fire,86151.60979858495,0,86151.60979858495
2021,Columbus,Road,0,0,0
2021,Gahanna,General,16516.67857989596,2459.047123034627,18975.725702930587
2021,Gahanna,Fire,70048.67142010404,10429.032876965375,80477.70429706942
2021,Gahanna,Road,0,0,0
2021,Jefferson Unincorporated,General,36949.455438289384,705.8549184567803,37655.310356746166
2021,Jefferson Unincorporated,Fire,281800.3842993468,4849.619274407335,286650.00357375416
2021,Jefferson Unincorporated,Road,88449.00026236378,1657.655807135886,90106.65606949967
2021,Reynoldsburg,General,0,0,0
2021,Reynoldsburg,Fire,0,0,0
2021,Reynoldsburg,Road,0,0,0
2022,Columbus,General,15303.525757175788,0,15303.525757175788
2022,Columbus,Fire,115752.66424282422,0,115752.66424282422
2022,Columbus,Road,0,0,0
2022,Gahanna,General,17197.213618239795,2312.9238411845304,19510.137459424324
2022,Gahanna,Fire,93943.8663817602,12634.896158815469,106578.76254057567
2022,Gahanna,Road,0,0,0
2022,Jefferson Unincorporated,General,62304.05505927719,523.1769642530845,62827.232023530276
2022,Jefferson Unincorporated,Fire,573736.7547141024,4629.925174047846,578366.6798881502
2022,Jefferson Unincorporated,Road,147270.19022662038,1223.16786169907,148493.35808831945
2022,Reynoldsburg,General,2047.609521572974,0,2047.609521572974
2022,Reynoldsburg,Fire,22671.470478427025,0,22671.470478427025
2022,Reynoldsburg,Road,0,0,0
2023,Columbus,General,17388.23039383804,0,17388.23039383804
2023,Columbus,Fire,100696.05960616196,0,100696.05960616196
2023,Columbus,Road,0,0,0
2023,Gahanna,General,9041.8345725848,8580.847487203006,17622.682059787803
2023,Gahanna,Fire,37816.7754274152,35888.732512796996,73705.5079402122
2023,Gahanna,Road,0,0,0
2023,Jefferson Unincorporated,General,86032.31165809339,270.250709221331,86302.56236731472
2023,Jefferson Unincorporated,Fire,604680.5988432323,1831.090436596859,606511.6892798292
2023,Jefferson Unincorporated,Road,160288.51949867434,501.2488541818098,160789.76835285616
2023,Reynoldsburg,General,9440.204902918324,0,9440.204902918324
2023,Reynoldsburg,Fire,90723.13509708169,0,90723.13509708169
2023,Reynoldsburg,Road,0,0,0
2024,Columbus,General,21678.895419805736,0,21678.895419805736
2024,Columbus,Fire,126245.19458019428,0,126245.19458019428
2024,Columbus,Road,0,0,0
2024,Gahanna,General,19102.330437504705,26586.435593257516,45688.76603076222
2024,Gahanna,Fire,80340.56956249528,111817.21440674244,192157.7839692377
2024,Gahanna,Road,0,0,0
2024,Jefferson Unincorporated,General,112776.4470515437,402.4599944014946,113178.90704594519
2024,Jefferson Unincorporated,Fire,789095.1499831217,2742.1189135551717,791837.2688966768
2024,Jefferson Unincorporated,Road,210903.36296533456,750.2610920433335,211653.6240573779
2024,Reynoldsburg,General,12920.069154862937,0,12920.069154862937
2024,Reynoldsburg,Fire,124764.74084513706,0,124764.74084513706
2024,Reynoldsburg,Road,0,0,0
2014,Jefferson Unincorporated,General,0,178.89094991893106,178.89094991893106
2014,Jefferson Unincorporated,Fire,0,1783.226312601336,1783.226312601336
2014,Jefferson Unincorporated,Road,0,44.72273747973277,44.72273747973277
2015,Jefferson Unincorporated,General,0,117.64339290410967,117.64339290410967
2015,Jefferson Unincorporated,Fire,0,1082.812728751042,1082.812728751042
2015,Jefferson Unincorporated,Road,0,358.79387834484857,358.79387834484857
2016,Jefferson Unincorporated,General,0,1128.1964829006447,1128.1964829006447
2016,Jefferson Unincorporated,Fire,0,10365.835438996635,10365.835438996635
2016,Jefferson Unincorporated,Road,0,3436.2980781027195,3436.2980781027195
